@relation 'student-mat-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R3-weka.filters.unsupervised.attribute.Remove-R1,6,21,30-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R11-weka.filters.unsupervised.attribute.NumericToNominal-R12-weka.filters.unsupervised.attribute.NumericToNominal-R13-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R22-weka.filters.unsupervised.attribute.NumericToNominal-R23-weka.filters.unsupervised.attribute.NumericToNominal-R24-weka.filters.unsupervised.attribute.NumericToNominal-R25-weka.filters.unsupervised.attribute.NumericToNominal-R26-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R27-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R28'

@attribute sex {F,M}
@attribute age {'\'(-inf-17.333333]\'','\'(17.333333-19.666667]\'','\'(19.666667-inf)\''}
@attribute address {U,R}
@attribute famsize {GT3,LE3}
@attribute Medu {0,1,2,3,4}
@attribute Fedu {0,1,2,3,4}
@attribute Mjob {at_home,health,other,services,teacher}
@attribute Fjob {teacher,other,services,health,at_home}
@attribute reason {course,other,home,reputation}
@attribute guardian {mother,father,other}
@attribute traveltime {1,2,3,4}
@attribute studytime {1,2,3,4}
@attribute failures {0,1,2,3}
@attribute schoolsup {yes,no}
@attribute famsup {no,yes}
@attribute paid {no,yes}
@attribute activities {no,yes}
@attribute nursery {yes,no}
@attribute internet {no,yes}
@attribute romantic {no,yes}
@attribute famrel {1,2,3,4,5}
@attribute freetime {1,2,3,4,5}
@attribute goout {1,2,3,4,5}
@attribute Dalc {1,2,3,4,5}
@attribute Walc {1,2,3,4,5}
@attribute health {1,2,3,4,5}
@attribute G1 {'\'(-inf-7]\'','\'(7-11]\'','\'(11-15]\'','\'(15-inf)\''}
@attribute G2 {'\'(-inf-4.75]\'','\'(4.75-9.5]\'','\'(9.5-14.25]\'','\'(14.25-inf)\''}
@attribute G3 numeric

@data
M,'\'(-inf-17.333333]\'',U,LE3,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,no,5,3,2,1,1,2,'\'(7-11]\'','\'(9.5-14.25]\'',12
M,'\'(-inf-17.333333]\'',U,GT3,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,no,yes,no,5,4,3,1,1,5,'\'(11-15]\'','\'(9.5-14.25]\'',15
F,'\'(-inf-17.333333]\'',U,GT3,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,no,no,3,5,1,1,1,5,'\'(7-11]\'','\'(4.75-9.5]\'',6
M,'\'(-inf-17.333333]\'',U,LE3,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,no,5,4,3,1,1,4,'\'(11-15]\'','\'(14.25-inf)\'',18
M,'\'(-inf-17.333333]\'',R,GT3,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,2,4,3,1,1,5,'\'(11-15]\'','\'(14.25-inf)\'',15
F,'\'(-inf-17.333333]\'',R,GT3,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,'\'(11-15]\'','\'(9.5-14.25]\'',11
F,'\'(-inf-17.333333]\'',R,GT3,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,'\'(11-15]\'','\'(9.5-14.25]\'',13
F,'\'(-inf-17.333333]\'',U,LE3,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,3,3,3,1,2,3,'\'(-inf-7]\'','\'(9.5-14.25]\'',11
M,'\'(-inf-17.333333]\'',U,LE3,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,5,4,3,2,4,5,'\'(11-15]\'','\'(9.5-14.25]\'',12
M,'\'(-inf-17.333333]\'',U,GT3,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,no,4,3,3,1,1,5,'\'(15-inf)\'','\'(14.25-inf)\'',18
M,'\'(-inf-17.333333]\'',U,GT3,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,no,5,4,1,1,1,1,'\'(7-11]\'','\'(4.75-9.5]\'',11
F,'\'(-inf-17.333333]\'',U,LE3,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,no,4,3,3,2,2,5,'\'(7-11]\'','\'(9.5-14.25]\'',9
F,'\'(-inf-17.333333]\'',U,LE3,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,'\'(7-11]\'','\'(4.75-9.5]\'',6
F,'\'(-inf-17.333333]\'',U,LE3,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,no,2,3,5,1,4,3,'\'(7-11]\'','\'(9.5-14.25]\'',11
M,'\'(-inf-17.333333]\'',U,GT3,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,no,4,2,2,1,1,2,'\'(15-inf)\'','\'(14.25-inf)\'',20
M,'\'(-inf-17.333333]\'',U,GT3,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,no,no,4,3,3,2,2,5,'\'(11-15]\'','\'(14.25-inf)\'',14
F,'\'(-inf-17.333333]\'',U,GT3,4,4,services,teacher,other,father,1,2,1,yes,yes,no,yes,no,yes,no,4,4,4,1,1,3,'\'(-inf-7]\'','\'(4.75-9.5]\'',7
F,'\'(-inf-17.333333]\'',U,LE3,2,2,services,services,course,mother,3,2,0,no,yes,yes,no,yes,yes,no,4,3,3,2,3,4,'\'(11-15]\'','\'(9.5-14.25]\'',13
F,'\'(-inf-17.333333]\'',U,LE3,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,3,3,1,1,5,'\'(7-11]\'','\'(9.5-14.25]\'',13
M,'\'(-inf-17.333333]\'',U,LE3,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,no,no,5,5,5,3,4,5,'\'(7-11]\'','\'(9.5-14.25]\'',10
F,'\'(-inf-17.333333]\'',U,GT3,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,no,3,3,4,2,3,5,'\'(7-11]\'','\'(9.5-14.25]\'',11
F,'\'(-inf-17.333333]\'',U,LE3,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,no,5,3,4,4,4,1,'\'(7-11]\'','\'(9.5-14.25]\'',13
F,'\'(-inf-17.333333]\'',U,GT3,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,'\'(7-11]\'','\'(4.75-9.5]\'',10
F,'\'(-inf-17.333333]\'',U,GT3,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,'\'(11-15]\'','\'(14.25-inf)\'',15
M,'\'(-inf-17.333333]\'',U,GT3,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,no,no,3,2,2,1,1,5,'\'(11-15]\'','\'(14.25-inf)\'',15
M,'\'(-inf-17.333333]\'',U,LE3,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,'\'(7-11]\'','\'(9.5-14.25]\'',9
F,'\'(-inf-17.333333]\'',U,GT3,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,4,2,3,1,1,5,'\'(11-15]\'','\'(14.25-inf)\'',16
F,'\'(-inf-17.333333]\'',R,GT3,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,no,no,2,4,4,2,3,4,'\'(7-11]\'','\'(9.5-14.25]\'',11
F,'\'(-inf-17.333333]\'',U,GT3,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,5,5,5,5,5,5,'\'(7-11]\'','\'(4.75-9.5]\'',11
F,'\'(-inf-17.333333]\'',U,LE3,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,no,4,4,3,1,1,1,'\'(7-11]\'','\'(9.5-14.25]\'',9
F,'\'(-inf-17.333333]\'',U,GT3,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,'\'(7-11]\'','\'(4.75-9.5]\'',9
F,'\'(-inf-17.333333]\'',U,LE3,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,4,4,4,2,4,2,'\'(7-11]\'','\'(9.5-14.25]\'',10
F,'\'(-inf-17.333333]\'',U,LE3,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,no,5,4,3,1,2,1,'\'(15-inf)\'','\'(14.25-inf)\'',15
M,'\'(-inf-17.333333]\'',U,GT3,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,1,3,3,5,5,3,'\'(11-15]\'','\'(9.5-14.25]\'',12
F,'\'(-inf-17.333333]\'',U,GT3,3,1,services,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,no,4,3,3,1,2,5,'\'(-inf-7]\'','\'(4.75-9.5]\'',6
F,'\'(-inf-17.333333]\'',R,LE3,2,2,health,services,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,no,4,1,3,1,3,4,'\'(7-11]\'','\'(4.75-9.5]\'',8
F,'\'(-inf-17.333333]\'',R,LE3,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,no,4,4,2,2,3,3,'\'(15-inf)\'','\'(14.25-inf)\'',16
M,'\'(-inf-17.333333]\'',U,GT3,3,1,other,other,reputation,father,2,4,0,no,yes,yes,no,yes,yes,no,4,3,2,1,1,5,'\'(11-15]\'','\'(14.25-inf)\'',15
M,'\'(-inf-17.333333]\'',U,GT3,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,no,3,3,3,1,1,3,'\'(7-11]\'','\'(9.5-14.25]\'',10
F,'\'(-inf-17.333333]\'',R,GT3,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,3,3,4,2,4,5,'\'(7-11]\'','\'(4.75-9.5]\'',5
M,'\'(-inf-17.333333]\'',U,GT3,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,no,no,5,3,2,2,2,5,'\'(11-15]\'','\'(9.5-14.25]\'',14
F,'\'(-inf-17.333333]\'',U,GT3,3,3,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,'\'(7-11]\'','\'(9.5-14.25]\'',11
M,'\'(-inf-17.333333]\'',U,GT3,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,'\'(7-11]\'','\'(4.75-9.5]\'',10
M,'\'(-inf-17.333333]\'',U,GT3,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,no,3,4,3,1,1,1,'\'(7-11]\'','\'(9.5-14.25]\'',10
F,'\'(-inf-17.333333]\'',U,GT3,2,2,other,other,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,5,2,3,1,3,3,'\'(7-11]\'','\'(9.5-14.25]\'',11
M,'\'(-inf-17.333333]\'',U,GT3,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,yes,no,4,5,1,1,1,3,'\'(7-11]\'','\'(4.75-9.5]\'',10
F,'\'(-inf-17.333333]\'',U,GT3,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,2,4,3,1,2,3,'\'(-inf-7]\'','\'(4.75-9.5]\'',5
M,'\'(-inf-17.333333]\'',U,GT3,2,3,other,services,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,3,2,2,1,3,3,'\'(7-11]\'','\'(9.5-14.25]\'',12
M,'\'(-inf-17.333333]\'',U,GT3,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,no,yes,no,5,3,2,1,2,5,'\'(7-11]\'','\'(9.5-14.25]\'',11
F,'\'(-inf-17.333333]\'',U,LE3,3,2,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,4,4,1,1,5,'\'(-inf-7]\'','\'(4.75-9.5]\'',6
M,'\'(-inf-17.333333]\'',U,LE3,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,no,5,3,3,1,3,4,'\'(11-15]\'','\'(14.25-inf)\'',15
F,'\'(-inf-17.333333]\'',U,GT3,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,no,4,3,2,2,3,4,'\'(7-11]\'','\'(9.5-14.25]\'',10
F,'\'(-inf-17.333333]\'',U,GT3,4,4,services,services,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,4,4,4,2,3,5,'\'(-inf-7]\'','\'(4.75-9.5]\'',8
F,'\'(-inf-17.333333]\'',U,LE3,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,no,no,4,3,4,1,2,2,'\'(7-11]\'','\'(4.75-9.5]\'',6
F,'\'(-inf-17.333333]\'',U,GT3,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,no,5,3,3,1,3,1,'\'(11-15]\'','\'(9.5-14.25]\'',14
M,'\'(-inf-17.333333]\'',U,GT3,2,2,services,other,reputation,father,2,2,1,no,no,yes,yes,no,yes,no,4,4,2,1,1,3,'\'(7-11]\'','\'(9.5-14.25]\'',10
M,'\'(-inf-17.333333]\'',U,LE3,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,no,no,4,1,3,3,5,5,'\'(7-11]\'','\'(4.75-9.5]\'',7
F,'\'(-inf-17.333333]\'',U,GT3,3,3,other,other,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,4,3,3,1,3,4,'\'(-inf-7]\'','\'(4.75-9.5]\'',8
F,'\'(-inf-17.333333]\'',U,GT3,4,3,services,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,no,4,5,5,1,3,1,'\'(15-inf)\'','\'(14.25-inf)\'',18
F,'\'(-inf-17.333333]\'',U,LE3,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,no,no,3,3,3,2,3,2,'\'(-inf-7]\'','\'(4.75-9.5]\'',6
F,'\'(-inf-17.333333]\'',U,GT3,4,2,teacher,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,'\'(7-11]\'','\'(9.5-14.25]\'',10
M,'\'(-inf-17.333333]\'',U,LE3,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,no,4,3,4,1,1,4,'\'(7-11]\'','\'(9.5-14.25]\'',14
F,'\'(-inf-17.333333]\'',R,GT3,1,1,at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,'\'(-inf-7]\'','\'(9.5-14.25]\'',10
M,'\'(-inf-17.333333]\'',R,GT3,4,3,services,other,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,no,3,3,3,1,1,4,'\'(7-11]\'','\'(14.25-inf)\'',15
F,'\'(-inf-17.333333]\'',U,GT3,2,1,other,other,course,mother,1,2,0,no,yes,yes,no,yes,no,yes,4,3,5,1,1,5,'\'(7-11]\'','\'(4.75-9.5]\'',10
F,'\'(-inf-17.333333]\'',U,GT3,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,no,5,3,4,1,2,1,'\'(7-11]\'','\'(9.5-14.25]\'',14
F,'\'(-inf-17.333333]\'',U,GT3,4,3,other,at_home,course,mother,1,3,0,yes,yes,yes,no,yes,yes,no,5,3,5,1,1,3,'\'(-inf-7]\'','\'(4.75-9.5]\'',8
M,'\'(-inf-17.333333]\'',U,GT3,4,4,services,services,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,'\'(-inf-7]\'','\'(4.75-9.5]\'',5
M,'\'(-inf-17.333333]\'',U,GT3,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,4,4,3,1,1,4,'\'(15-inf)\'','\'(14.25-inf)\'',17
M,'\'(-inf-17.333333]\'',U,GT3,4,4,services,other,course,mother,1,1,0,no,yes,no,yes,no,yes,no,5,3,3,1,1,5,'\'(7-11]\'','\'(9.5-14.25]\'',14
F,'\'(-inf-17.333333]\'',U,GT3,3,2,services,other,home,mother,2,2,0,yes,yes,yes,no,yes,yes,no,4,3,5,1,1,2,'\'(-inf-7]\'','\'(4.75-9.5]\'',6
M,'\'(-inf-17.333333]\'',U,GT3,3,4,services,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,'\'(15-inf)\'','\'(14.25-inf)\'',18
F,'\'(-inf-17.333333]\'',U,GT3,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,no,no,4,3,3,1,1,4,'\'(7-11]\'','\'(9.5-14.25]\'',11
F,'\'(-inf-17.333333]\'',U,GT3,2,2,other,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,no,5,1,2,1,1,3,'\'(-inf-7]\'','\'(4.75-9.5]\'',8
M,'\'(-inf-17.333333]\'',U,GT3,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,no,5,3,3,1,1,5,'\'(15-inf)\'','\'(14.25-inf)\'',18
M,'\'(-inf-17.333333]\'',R,GT3,4,4,other,other,home,father,4,4,0,no,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,'\'(7-11]\'','\'(9.5-14.25]\'',13
F,'\'(-inf-17.333333]\'',U,LE3,4,4,health,health,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,'\'(11-15]\'','\'(14.25-inf)\'',16
M,'\'(-inf-17.333333]\'',U,LE3,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,no,5,5,3,1,1,4,'\'(15-inf)\'','\'(14.25-inf)\'',19
F,'\'(-inf-17.333333]\'',R,GT3,3,3,services,other,reputation,father,1,3,1,yes,yes,no,yes,yes,yes,no,4,1,2,1,1,2,'\'(-inf-7]\'','\'(9.5-14.25]\'',10
F,'\'(-inf-17.333333]\'',U,GT3,2,2,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,no,3,1,2,1,1,5,'\'(7-11]\'','\'(9.5-14.25]\'',13
M,'\'(-inf-17.333333]\'',U,LE3,4,2,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,no,3,5,2,1,1,3,'\'(15-inf)\'','\'(14.25-inf)\'',19
M,'\'(-inf-17.333333]\'',R,GT3,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,5,4,2,1,1,5,'\'(7-11]\'','\'(4.75-9.5]\'',9
M,'\'(-inf-17.333333]\'',U,GT3,4,4,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,no,5,4,4,1,2,5,'\'(11-15]\'','\'(14.25-inf)\'',16
M,'\'(-inf-17.333333]\'',U,GT3,4,4,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,no,no,4,4,3,1,1,2,'\'(7-11]\'','\'(9.5-14.25]\'',14
